PaperID,TrialID,System,Category,Analyte,Value,SD,Unit,Significance,Location,Notes
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,AP,biochemistry,Total phenols,156.6,29.4,mg GAE/100 g fw,ns,Table 1,
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,HYD,biochemistry,Total phenols,150.3,70.3,mg GAE/100 g fw,ns,Table 1,
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,AP,biochemistry,Antioxidant capacity (DPPH),181.5,43.9,mg TE/100 g fw,ns,Table 1,
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,HYD,biochemistry,Antioxidant capacity (DPPH),132.7,21.3,mg TE/100 g fw,ns,Table 1,
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,AP,biochemistry,Antioxidant capacity (FRAP),255.5,16.5,mg TE/100 g fw,ns,Table 1,
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,HYD,biochemistry,Antioxidant capacity (FRAP),309.8,42.1,mg TE/100 g fw,ns,Table 1,
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,AP,microbiology,Mesophilic aerobic bacteria,NR,NR,log CFU/g,ns,Figure 3,Bar chart only; no numeric value in text or table
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,HYD,microbiology,Mesophilic aerobic bacteria,NR,NR,log CFU/g,ns,Figure 3,Bar chart only; no numeric value in text or table
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,AP,microbiology,Enterobacteriaceae,NR,NR,log CFU/g,ns,Figure 3,Bar chart only; no numeric value in text or table
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,HYD,microbiology,Enterobacteriaceae,NR,NR,log CFU/g,ns,Figure 3,Bar chart only; no numeric value in text or table
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,AP,microbiology,Psychrophilic bacteria,NR,NR,log CFU/g,ns,Figure 3,Bar chart only; no numeric value in text or table
alcarrazQualityLettuceLactuca2018,alcarrazQualityLettuceLactuca2018-T1,HYD,microbiology,Psychrophilic bacteria,NR,NR,log CFU/g,ns,Figure 3,Bar chart only; no numeric value in text or table
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,Temperature,27.3,0.15,degC,ns (same letter c vs c... see note),Table 1 p.6,"Fish tank compartment, biochar system. Compared same-compartment letter vs clay fish tank: biochar=c clay=a -> significant, not ns; label corrected in Notes since column auto-text was wrong: SIGNIFICANT (letters a vs c)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,Temperature,27,0.17,degC,significant (letters b vs c),Table 1 p.6,Biofilter compartment. Both systems maintained temps within optimal range for tilapia (24-27 degC) per Discussion p.10.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,Temperature,27,0.11,degC,ns (letters c vs c),Table 1 p.6,"Plant tank compartment. This value also recorded as ""Water temperature"" in trials.csv T1 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,Temperature,29,0.19,degC,significant (letters a vs c),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,Temperature,28,0.16,degC,significant (letters b vs c),Table 1 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,Temperature,27.2,0.12,degC,ns (letters c vs c),Table 1 p.6,"Plant tank compartment. This value also recorded as ""Water temperature"" in trials.csv T2 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,pH,7.2,0.06,pH units,ns (letters a vs a),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,pH,6.9,0.02,pH units,significant (letters a vs b),Table 1 p.6,"Biofilter compartment. Discussion (p.11) notes this is slightly below the literature-cited ideal range for nitrifiers (7.2-8.2, secondary/cited ref.43)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,pH,6.8,0.04,pH units,significant (letters a vs b),Table 1 p.6,"Plant tank compartment. This value also recorded as ""Aq pH"" in trials.csv T1 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,pH,7.4,0.04,pH units,ns (letters a vs a),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,pH,7.4,0.07,pH units,significant (letters a vs b),Table 1 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,pH,7.4,0.03,pH units,significant (letters a vs b),Table 1 p.6,"Plant tank compartment. This value also recorded as ""Aq pH"" in trials.csv T2 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,EC,0.92,0.07,uS/cm as printed in Table 1 (schema unit dS/m; see Notes),significant (letters b vs c),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,EC,0.97,NR,uS/cm as printed vs dS/m in text,significant (letters a vs d),Table 1 p.6 vs Results text p.5,"RESOLVED BY USER (2026-08-05, via REVIEW.md): Table 1 biofilter value = 0.97+/-0.01. Extraction had guessed the printed unit ('us,cm-1') was a typo for mS,cm-1 (=dS/m) -- CONFIRMED WRONG by checking the source PDF directly: it is genuinely microS,cm-1 (proper micro sign). Results text (p.5) separately states biochar biofilter EC 'up to 1.27 dS.m-1'. User-directed resolution: 0.97 recorded as the trial mean (Table 1, as printed); 1.27 dS.m-1 kept as the paper's own stated peak value. Not unit-reconciled -- the two figures are ~6 orders of magnitude apart taken literally (0.97 microS/cm vs 1,270,000 microS/cm); this is the paper's own unresolved inconsistency, recorded as the user's editorial call rather than a value the paper itself resolves."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,EC,0.93,0.02,uS/cm as printed in Table 1 (schema unit dS/m; see Notes),significant (letters b vs c),Table 1 p.6,"Plant tank compartment. This value also recorded as ""EC"" in trials.csv T1 row (undisputed - not part of the biofilter BLOCK above)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,EC,0.9,0.03,uS/cm as printed in Table 1 (schema unit dS/m; see Notes),significant (letters b vs c),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,EC,0.8,0.06,uS/cm as printed in Table 1 (schema unit dS/m; see Notes),significant (letters a vs d),Table 1 p.6,"Biofilter compartment (clay). Not itself part of the EC BLOCK (that conflict is specific to the biochar biofilter cell), included here for compartment completeness."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,EC,0.9,0.01,uS/cm as printed in Table 1 (schema unit dS/m; see Notes),significant (letters b vs c),Table 1 p.6,"Plant tank compartment. This value also recorded as ""EC"" in trials.csv T2 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,Dissolved oxygen,7.6,0.02,mg/L,ns (letters a vs a),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,Dissolved oxygen,6.9,0.08,mg/L,ns (letters b vs b),Table 1 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,Dissolved oxygen,6.9,0.06,mg/L,ns (letters b vs b),Table 1 p.6,"Plant tank compartment. This value also recorded as ""Dissolved Oxigen"" in trials.csv T1 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,Dissolved oxygen,7.4,0.5,mg/L,ns (letters a vs a),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,Dissolved oxygen,6.6,0.11,mg/L,ns (letters b vs b),Table 1 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,Dissolved oxygen,6.6,0.09,mg/L,ns (letters b vs b),Table 1 p.6,"Plant tank compartment. This value also recorded as ""Dissolved Oxigen"" in trials.csv T2 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NH4+,0.23,0.03,mg N/L,significant (letters c vs d),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NH4+,0.13,0.01,mg N/L,significant (letters a vs b),Table 1 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NH4+,0.12,0.02,mg N/L,significant (letters a vs b),Table 1 p.6,"Plant tank compartment. This value also recorded as ""TAN / NH4-N"" in trials.csv T1 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NH4+,0.26,0.04,mg N/L,significant (letters c vs d),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NH4+,0.16,0.02,mg N/L,significant (letters a vs b),Table 1 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NH4+,0.15,0.02,mg N/L,significant (letters a vs b),Table 1 p.6,"Plant tank compartment. This value also recorded as ""TAN / NH4-N"" in trials.csv T2 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NO2-,0.26,0.04,mg N/L,significant (letters c vs e),Table 1 p.6,Fish tank compartment. See ⚠️MATERIAL abstract note on the BIOFILTER row of this analyte below.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NO2-,0.34,0.03,mg N/L,significant (letters d vs b),Table 1 p.6,"⚠️MATERIAL: Abstract (p.1) states 'nitrate concentrations from 0.24 to 0.34 mg.L-1' for biochar - this 0.34 figure is actually THIS nitrite biofilter value, not a nitrate value. Table 1 taken as authoritative; this is nitrite (N-NO2-), not nitrate."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NO2-,0.27,0.04,mg N/L,significant (letters a vs c),Table 1 p.6,"Plant tank compartment. This value also recorded as ""NO2-N"" in trials.csv T1 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NO2-,0.38,0.05,mg N/L,significant (letters e vs c),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NO2-,0.24,0.03,mg N/L,significant (letters b vs d),Table 1 p.6,"⚠️MATERIAL: Abstract (p.1) states 'nitrate concentrations from 0.24 to 0.34 mg.L-1' for clay - this 0.24 figure is actually THIS nitrite biofilter value, not a nitrate value. Table 1 taken as authoritative; this is nitrite (N-NO2-), not nitrate."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NO2-,0.22,0.06,mg N/L,significant (letters a vs c),Table 1 p.6,"Plant tank compartment. This value also recorded as ""NO2-N"" in trials.csv T2 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NO3-,10,0.12,mg N/L,ns (letters a vs a),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NO3-,28,0.1,mg N/L,significant (letters d vs c),Table 1 p.6,"⚠️MATERIAL: Results text (p.5-6) attributes 'reaching...18 mg/L for nitrate' in the 'biochar' biofilter, but 18 is actually the CLAY biofilter value (see T2 biofilter row). This trial's (biochar) true biofilter nitrate value is 28+/-0.1 per Table 1, taken as authoritative here."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,N-NO3-,16,0.32,mg N/L,ns (letters b vs b),Table 1 p.6,"Plant tank compartment. This value also recorded as ""NO3-N"" in trials.csv T1 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NO3-,10,0.53,mg N/L,ns (letters a vs a),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NO3-,18,0.22,mg N/L,significant (letters c vs d),Table 1 p.6,⚠️MATERIAL: Results text (p.5-6) mislabels this clay biofilter value (18 mg/L nitrate) as belonging to 'biochar' - see T1 biofilter row for the correction. This (clay) value itself is correctly Table 1's own clay-biofilter figure.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,N-NO3-,15,0.29,mg N/L,ns (letters b vs b),Table 1 p.6,"Plant tank compartment. This value also recorded as ""NO3-N"" in trials.csv T2 row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,P-PO4,7,0.05,mg P/L,significant (letters a vs c),Table 1 p.6,"Fish tank compartment. Table prints row label 'P-PO3-'; taken as P-PO4 (phosphate) per standard nomenclature, value recorded as printed."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,P-PO4,9,0.04,mg P/L,significant (letters b vs d),Table 1 p.6,"⚠️MATERIAL: Results text (p.5-6) attributes 'reaching 5.9 mg/L for phosphorus' to the biochar biofilter, but 5.9 is actually the CLAY biofilter value (see T2 biofilter row). This trial's (biochar) true biofilter phosphate value is 9+/-0.04 per Table 1, taken as authoritative here."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,water-quality,P-PO4,6,0.03,mg P/L,significant (letters a vs b),Table 1 p.6,Plant tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,P-PO4,5.4,0.11,mg P/L,significant (letters a vs c),Table 1 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,P-PO4,5.9,0.6,mg P/L,significant (letters b vs d),Table 1 p.6,⚠️MATERIAL: Results text (p.5-6) mislabels this clay biofilter value (5.9 mg/L phosphorus) as belonging to 'biochar' - see T1 biofilter row for the correction. This (clay) value itself is correctly Table 1's own clay-biofilter figure.
